order_id,customer_id,order_date,status
1,3,2025-09-26,completed
2,20,2026-03-18,pending
3,140,2025-08-27,completed
4,95,2026-03-06,pending
5,111,2024-07-31,pending
6,11,2024-08-13,cancelled
7,94,2025-10-22,completed
8,92,2025-09-05,pending
9,175,2025-10-29,pending
10,171,2026-01-22,completed
11,91,2025-05-11,refunded
12,159,2025-10-21,pending
13,61,2025-07-10,pending
14,46,2025-10-12,refunded
15,7,2025-02-07,pending
16,189,2026-06-10,cancelled
17,106,2025-06-29,pending
18,69,2026-02-19,pending
19,180,2025-11-23,completed
20,98,2025-02-13,completed
21,121,2024-09-02,pending
22,52,2024-08-23,refunded
23,90,2025-05-28,cancelled
24,59,2025-06-29,pending
25,7,2024-12-07,pending
26,103,2025-09-27,cancelled
27,72,2025-02-24,completed
28,198,2025-12-18,cancelled
29,90,2025-12-29,refunded
30,174,2026-04-01,cancelled
31,8,2026-06-23,completed
33,149,2025-04-07,cancelled
34,10,2025-08-25,completed
35,153,2025-03-01,refunded
36,89,2025-06-16,cancelled
37,112,2025-01-22,completed
38,99,2025-01-08,pending
39,66,2024-09-19,completed
40,182,2025-02-08,refunded
41,1,2025-04-17,pending
42,94,2025-10-03,refunded
44,160,2026-04-04,cancelled
45,170,2024-11-04,completed
46,185,2025-03-07,cancelled
47,130,2025-09-06,cancelled
48,171,2025-02-24,refunded
49,84,2026-01-19,refunded
50,179,2025-07-10,cancelled
51,142,2025-07-22,pending
52,50,2025-07-10,refunded
53,171,2025-02-21,refunded
54,174,2024-07-27,pending
55,158,2026-06-01,cancelled
56,104,2025-07-15,completed
57,78,2026-06-17,cancelled
58,54,2024-12-15,refunded
59,149,2025-03-25,cancelled
60,120,2024-08-16,refunded
61,114,2025-07-07,pending
62,131,2026-04-16,refunded
63,189,2025-11-01,pending
65,73,2025-08-07,cancelled
66,24,2026-03-22,pending
67,173,2025-05-22,cancelled
68,58,2026-04-17,pending
69,38,2025-12-24,completed
70,12,2026-01-20,pending
72,117,2025-04-29,refunded
73,162,2025-08-31,pending
74,184,2024-11-30,refunded
75,127,2025-08-19,unknown
76,63,2024-09-02,pending
77,168,2025-07-14,completed
78,193,2026-01-20,completed
79,200,2025-01-31,refunded
80,57,2026-07-04,pending
81,179,2025-11-20,refunded
82,13,2024-10-05,pending
83,32,2026-06-23,refunded
84,35,2025-04-24,refunded
85,171,2026-02-12,cancelled
86,194,2025-03-15,refunded
87,157,2026-05-28,refunded
89,41,2024-12-03,refunded
90,116,2025-07-18,cancelled
91,193,2025-07-11,pending
92,164,2024-08-13,cancelled
94,161,2025-03-11,pending
95,71,2025-06-22,refunded
96,20,2025-06-10,cancelled
97,61,2025-09-27,cancelled
98,86,2025-07-22,cancelled
99,139,2025-03-07,completed
100,36,2025-10-02,pending
101,60,2024-11-06,refunded
102,178,2026-07-05,pending
103,181,2026-01-02,pending
104,17,2025-02-14,refunded
105,105,2025-03-13,cancelled
106,139,2026-03-08,refunded
107,107,2025-08-04,completed
108,53,2025-12-11,refunded
109,100,2025-02-15,completed
110,196,2026-02-27,refunded
111,123,2025-04-06,completed
112,91,2025-11-15,cancelled
113,193,2026-06-27,refunded
114,108,2025-09-10,pending
116,70,2025-12-23,refunded
118,100,2024-07-30,cancelled
119,172,2025-06-22,refunded
120,186,2026-06-17,pending
121,120,2026-02-03,pending
122,160,2026-01-29,completed
123,101,2025-09-06,completed
125,35,2025-09-10,refunded
126,47,2024-11-12,completed
127,67,2025-10-13,refunded
128,84,2025-10-07,pending
129,117,2026-03-17,cancelled
130,87,2024-10-27,refunded
131,72,2025-11-20,refunded
132,65,2024-08-03,completed
133,121,2026-06-04,completed
134,192,2024-09-29,completed
135,90,2024-07-24,pending
136,167,2025-02-25,completed
137,200,2024-10-29,completed
138,194,2025-11-27,completed
139,64,2025-05-06,pending
140,6,2026-01-28,pending
143,145,2025-12-30,pending
144,120,2024-08-25,cancelled
146,43,2024-12-09,completed
147,200,2025-03-05,pending
148,80,2025-11-07,completed
149,149,2025-07-30,completed
150,80,2025-02-25,refunded
151,102,2024-11-14,pending
152,20,2026-05-08,pending
153,27,2025-03-18,cancelled
154,176,2025-03-26,completed
155,145,2026-01-26,completed
156,89,2025-12-19,refunded
157,170,2025-10-24,cancelled
159,4,2025-09-29,refunded
160,126,2024-11-28,completed
161,111,2025-01-07,cancelled
162,163,2025-08-22,refunded
163,182,2024-12-22,pending
164,112,2026-06-22,pending
166,158,2025-02-07,refunded
167,120,2024-12-09,refunded
169,83,2025-02-27,pending
170,23,2025-03-22,cancelled
171,116,2026-05-24,pending
172,193,2026-02-12,refunded
174,87,2024-10-08,completed
175,127,2025-11-17,cancelled
176,47,2025-04-14,refunded
177,55,2026-06-27,cancelled
178,67,2026-03-01,cancelled
179,72,2026-06-08,cancelled
180,143,2026-02-19,completed
181,133,2025-02-08,pending
183,185,2025-12-15,refunded
184,126,2025-03-21,pending
185,177,2025-05-30,refunded
186,166,2025-01-14,refunded
187,115,2025-06-26,completed
188,24,2024-12-05,cancelled
189,57,2025-08-08,refunded
190,178,2026-05-24,pending
191,79,2025-12-01,cancelled
193,109,2025-10-04,cancelled
194,91,2025-09-12,refunded
195,70,2025-01-04,cancelled
196,65,2025-11-12,pending
197,31,2025-08-03,pending
198,81,2025-10-20,completed
199,191,2024-08-18,pending
200,50,2025-05-09,pending
201,190,2025-12-17,refunded
202,71,2024-09-22,cancelled
203,26,2026-01-25,pending
204,76,2024-07-14,pending
205,93,2025-08-17,pending
206,78,2026-05-21,completed
207,182,2025-05-04,pending
208,71,2026-05-25,completed
209,14,2026-04-14,cancelled
210,179,2025-06-25,pending
211,164,2024-12-03,refunded
212,27,2026-06-15,completed
213,147,2025-03-02,cancelled
214,121,2025-10-26,refunded
215,113,2026-05-05,cancelled
217,65,2025-09-03,refunded
218,30,2025-08-06,completed
219,103,2025-12-21,refunded
220,19,2026-05-26,completed
221,39,2026-05-09,pending
222,145,2024-11-15,cancelled
224,31,2024-11-16,refunded
225,156,2026-05-14,pending
226,199,2026-07-09,refunded
227,116,2025-04-27,refunded
228,77,2025-07-08,refunded
229,79,2026-05-26,completed
230,157,2026-06-14,completed
231,196,2026-05-18,pending
232,161,2026-04-12,pending
233,68,2024-07-17,completed
234,41,2025-08-30,pending
