order_item_id,order_id,product_id,quantity,unit_price
1,1,56,3,368.43
2,1,56,3,487.81
3,1,9,3,259.92
4,2,21,2,235.9
5,3,29,2,74.73
6,3,4,3,472.97
7,3,56,5,211.98
8,4,53,3,467.21
9,4,47,-3,98.97
10,5,32,5,236.07
11,5,57,3,251.2
12,6,26,5,231.33
13,7,14,5,179.68
14,7,4,3,249.97
15,8,19,5,9.05
16,8,7,4,71.3
17,8,17,3,383.11
18,8,24,1,203.29
19,9,24,5,147.86
20,9,25,5,227.93
21,10,53,5,341.8
22,10,8,2,487.67
23,10,26,3,398.47
24,11,36,3,378.71
25,11,13,5,257.02
26,11,33,1,27.43
27,12,46,3,402.96
28,12,34,4,78.73
29,13,21,5,162.67
30,13,26,5,370.96
31,14,38,3,256.12
32,14,33,5,247.47
33,14,37,3,240.07
34,15,24,3,338.53
35,16,38,3,399.39
36,16,47,1,300.47
37,16,17,5,290.93
38,16,47,1,293.84
39,17,34,5,388.43
40,17,25,2,411.72
41,18,3,5,474.36
42,18,8,2,14.37
43,19,27,2,209.42
44,19,14,4,253.4
45,19,40,4,437.04
46,20,46,2,261.75
47,21,43,4,265.11
48,21,21,2,232.53
49,21,35,3,275.41
50,22,40,4,100.17
51,22,16,3,281.25
52,22,15,3,386.73
53,23,45,4,161.94
54,23,23,5,467.18
55,24,19,1,288.87
56,24,35,4,448.4
57,24,26,3,477.53
58,25,19,1,147.38
59,25,46,1,176.45
60,26,42,3,374.93
61,26,14,2,414.84
62,26,18,5,349.6
63,26,9,1,309.76
64,27,16,1,336.57
65,27,34,2,320.78
66,28,7,4,168.5
67,29,7,2,7.56
68,29,36,2,206.42
69,29,60,4,241.34
70,29,13,3,163.98
71,30,59,1,327.89
72,31,35,1,457.05
73,31,12,4,441.71
74,32,60,1,498.6
75,32,26,4,97.22
76,33,57,1,9.59
77,33,37,5,58.11
78,33,22,3,229.9
79,34,57,2,426.27
80,34,30,3,100.44
81,34,8,3,85.43
82,34,30,3,360.71
83,35,48,3,396.43
84,36,12,5,428.79
85,36,58,4,414.36
86,37,6,4,336.28
87,37,12,2,241.34
88,37,60,2,8.38
89,38,16,4,378.11
90,38,22,3,293.32
91,38,37,1,134.47
92,38,24,2,35.75
93,39,30,3,84.06
94,40,45,1,321.16
95,88982,19,3,309.24
96,40,15,2,241.7
97,41,48,5,189.94
98,41,45,5,456.83
99,41,49,5,401.99
100,41,53,2,382.12
101,42,34,4,266.45
102,43,5,5,60.54
103,43,54,5,451.93
104,43,13,5,270.65
105,44,21,5,223.71
106,44,44,2,359.87
107,45,6,5,225.51
108,45,4,4,70.31
109,45,27,4,284.14
110,45,36,4,338.02
111,46,47,1,200.99
112,46,53,1,374.17
113,46,38,1,27.42
114,47,45,1,272.88
115,47,4,1,493.14
116,47,31,1,147.11
117,48,50,2,384.08
118,48,47,4,190.36
119,49,29,4,190.94
120,49,44,5,70.83
121,49,56,3,63.72
122,49,35,4,266.78
123,50,54,1,379.31
124,50,20,4,338.38
125,51,35,4,412.56
126,51,16,4,176.35
127,51,18,2,469.02
128,51,47,1,20.95
129,52,40,1,124.13
130,52,5,1,299.0
