product_id,product_name,category,price
1,Response ,Sports,346.48
2,Nation Lite,Books,497.6
3,Guy Lite,Books,450.31
4,Career Plus,Electronics,127.71
5,Unit Pro,Home,15.41
6,Them ,Clothing,296.28
7,State Pro,Electronics,355.38
8,Ok Pro,Clothing,38.36
9,Push Pro,Home,40.07
10,People Max,Home,336.14
11,Court Max,Toys,-70.49
12,Special ,Toys,238.97
13,Carry Plus,Books,99.25
14,Lead Pro,Sports,218.37
15,Morning Plus,Books,236.18
16,Whether Pro,Sports,328.46
17,Trouble Pro,Electronics,204.3
18,Around Lite,Electronics,128.08
19,Theory Max,Toys,227.06
20,Capital Plus,Clothing,142.88
21,National Max,Electronics,224.35
22,Claim ,Electronics,30.04
23,Fly ,Electronics,484.65
24,Community Max,Clothing,206.17
25,Color Plus,Clothing,433.0
26,Future Pro,Clothing,192.59
27,Worry Plus,Home,463.63
28,Security Plus,,214.39
29,Down ,Sports,-360.61
30,Half Max,Clothing,151.87
31,Yourself Pro,Toys,369.19
32,Yeah Pro,Sports,160.23
33,Natural Pro,Toys,241.01
34,Want ,Clothing,33.16
35,Federal ,Electronics,426.41
36,Throughout Pro,,-38.64
37,Bar Max,Books,64.34
38,Enough ,Clothing,291.56
39,Debate Pro,Toys,45.58
40,Prove ,Toys,263.78
41,Ok Lite,Clothing,336.51
42,Face Lite,Clothing,136.48
43,Car Max,Sports,324.52
44,Process Plus,Home,464.86
45,Floor Pro,Electronics,231.85
46,Possible ,,41.26
47,None Max,Toys,136.27
48,Better Lite,Electronics,-440.24
49,Morning Lite,Home,83.08
50,Put ,Sports,154.75
51,Concern ,Electronics,335.59
52,Person ,Home,466.22
53,Year Pro,Clothing,135.91
54,Partner Pro,Sports,278.85
55,Class Lite,Home,304.39
56,Congress Lite,Clothing,345.31
57,Reason Lite,Toys,246.82
58,Probably Pro,Electronics,318.97
59,Service Lite,Electronics,6.76
60,Week Max,Sports,490.0
